"Model","Parameter","Estimate","Std_Error","t_stat","p_value","Sig"
"GARCH(1,1)","mu",0.075652,0.013601,5.5623,0,"***"
"GARCH(1,1)","omega",0.021052,0.005213,4.0385,1e-04,"***"
"GARCH(1,1)","alpha1",0.073952,0.009998,7.3968,0,"***"
"GARCH(1,1)","beta1",0.90583,0.012303,73.6245,0,"***"
"GARCH(1,1)","shape",7.205947,0.811336,8.8816,0,"***"
"EGARCH(1,1)","mu",0.058435,0.013896,4.205,0,"***"
"EGARCH(1,1)","omega",-0.006754,0.002608,-2.5898,0.0096,"***"
"EGARCH(1,1)","alpha1",-0.102799,0.009781,-10.5106,0,"***"
"EGARCH(1,1)","beta1",0.972363,0.000519,1871.9157,0,"***"
"EGARCH(1,1)","gamma1",0.119089,0.003501,34.0175,0,"***"
"EGARCH(1,1)","shape",7.739534,0.903139,8.5696,0,"***"
"GJR-GARCH(1,1)","mu",0.059604,0.013532,4.4047,0,"***"
"GJR-GARCH(1,1)","omega",0.030027,0.005782,5.1929,0,"***"
"GJR-GARCH(1,1)","alpha1",0.001654,0.008143,0.2031,0.8391,""
"GJR-GARCH(1,1)","beta1",0.894992,0.012885,69.4603,0,"***"
"GJR-GARCH(1,1)","gamma1",0.139244,0.019902,6.9964,0,"***"
"GJR-GARCH(1,1)","shape",7.705561,0.907709,8.489,0,"***"
"FIGARCH(1,d,1)","mu",0.076088,0.013556,5.6128,0,"***"
"FIGARCH(1,d,1)","omega",0.030054,0.011253,2.6708,0.0076,"***"
"FIGARCH(1,d,1)","alpha1",0.222971,0.051024,4.3699,0,"***"
"FIGARCH(1,d,1)","beta1",0.635483,0.096355,6.5953,0,"***"
"FIGARCH(1,d,1)","delta",0.484626,0.10749,4.5086,0,"***"
"FIGARCH(1,d,1)","shape",6.781848,0.760595,8.9165,0,"***"
