"Date","GARCH","EGARCH","GJR","FIGARCH","Returns","Realized_Vol"
2025-01-01,0.845628752817737,1.00698969783667,0.949093637842549,0.829095656998382,0.414030421756095,NA
2025-01-02,0.849519928475063,1.00340157063911,0.948906742042334,0.827511896644603,1.85999761576596,NA
2025-01-03,0.85331523471881,0.999924868232549,0.948726114628079,0.830847387642165,-0.763180359681037,1.31388159289912
2025-01-06,0.857017517815996,0.996555802698897,0.948551546489172,0.835796536766863,-1.63251287258852,1.81816900663526
2025-01-07,0.860629512612038,0.99329073279202,0.948382835416822,0.841012906317234,0.38817437019727,1.01361840824251
2025-01-08,0.864153848457342,0.990126157310354,0.948219785881106,0.846038796815811,-0.0799680697813443,1.05772788261679
2025-01-09,0.867593054723325,0.987058708817458,0.94806220881491,0.850685014441984,-0.688121631586469,0.53966365795451
2025-01-10,0.870949565942782,0.984085147689797,0.947909921404546,0.855027893863033,-0.404617443706634,0.30430866875366
2025-01-13,0.874225726606001,0.981202356472393,0.947762746886889,0.859069276275229,-1.48570974223698,0.560547645423369
2025-01-14,0.877423795640969,0.978407334524215,0.94762051435283,0.862836992436335,0.389527804363432,0.941270691596724
2025-01-15,0.880545950603247,0.975697192936419,0.947483058556867,0.866364308093408,0.160159715627373,1.0229053270498
2025-01-16,0.883594291598664,0.973069149707588,0.94735021973267,0.869681736904792,0.423865492206588,0.143369879180911
2025-01-17,0.886570844959807,0.970520525161193,0.94722184341443,0.872812453309644,-0.466953713142892,0.457597138278625
2025-01-20,0.889477566695344,0.9680487375914,0.947097780263842,0.875777523633626,0.608195290909919,0.574961116399078
2025-01-21,0.892316345729485,0.965651299124267,0.946977885902547,0.878594513030668,-1.38067213115818,0.99552501650301
2025-01-22,0.895089006947321,0.963325811782153,0.946862020749872,0.881276025419452,0.566044035180191,1.13630058986803
2025-01-23,0.897797314060402,0.961069963739982,0.946750049865718,0.883838983750099,0.21570002277187,1.037693661697
2025-01-24,0.900442972305662,0.958881525762648,0.946641842798446,0.886293788047339,-0.488797436469746,0.537238017924529
2025-01-27,0.903027630989652,0.956758347813564,0.946537273437597,0.888651430416341,-1.14566190908238,0.680819838498718
