"Regime","Model","LogLikelihood","AIC","BIC","Persistence"
"Regime 1","EGARCH(1,1)",-3257.077,6526.1541,6561.055,0.917686
"Regime 1","GJR-GARCH(1,1)",-3267.0878,6546.1756,6581.0765,0.974104
"Regime 1","FIGARCH(1,d,1)",-3295.6355,6603.271,6638.172,0.882385
"Regime 1","GARCH(1,1)",-3298.3712,6606.7425,6635.8266,0.985533
"Regime 2","EGARCH(1,1)",-854.3214,1720.6428,1746.5132,0.896905
"Regime 2","GJR-GARCH(1,1)",-857.1461,1726.2922,1752.1626,0.96594
"Regime 2","GARCH(1,1)",-864.4706,1738.9411,1760.4998,0.984034
"Regime 2","FIGARCH(1,d,1)",-864.8836,1741.7672,1767.6376,0.881297
"Regime 3","EGARCH(1,1)",-714.6371,1441.2742,1468.0897,0.586478
"Regime 3","GJR-GARCH(1,1)",-716.9209,1445.8418,1472.6573,0.655364
"Regime 3","FIGARCH(1,d,1)",-721.9667,1455.9333,1482.7488,1.210865
"Regime 3","GARCH(1,1)",-729.4987,1468.9974,1491.3437,0.990448
